issue,id,month,year,synopsis
Civil War 1,105525,may,2006,"The New Warriors fight Nitro outside a school in Stamford, Connecticut. Nitro explodes, killing hundreds in the process.
Anti-superhero sentiment quickly spreads throughout the country, Johnny Storm getting beat into a coma outside a New York nightclub.
Captain America meets with Director Hill aboard the SHIELD Helicarrier, refusing to help her tracking down anti-regs. She has her soldiers fire on him, but he escapes. Iron Man says he will find him."
Civil War Frontline 1,106844,june,2006,"Iron Man unmasks to the world, revealing he has been Tony Stark the entire time.
Speedball is found alive in a forest in upstate New York, having lost his powers in the explosion. SHIELD takes him into custody."
New Avengers 21,107893,august,2006,"Captain America goes underground and teams up with the Falcon. They try to recruit Hank Pym, but he calls SHIELD on them. They narrowly escape."
She-Hulk 8,107245,july,2006,"Rage and Justice hire She-Hulk to help shut down a New Warriors hate site. Iron Man testifies in the trial, arguing for registration. Though She-Hulk embarrasses him on the stand, Tony gives her the location of the website's creator (who is revealed to be former Warrior Hindsight Lad) and the web site is shut down. Meanwhile, Captain America asks John Jameson about She-Hulk's loyalties in the upcoming war, but John refuses to answer."
Amazing Spider-Man 532,108482,may,2006,"Iron Man asks Spider-Man to unmask at a press conference. After much soul searching and talking with his family, Peter agrees to do so."
Civil War 2,105570,june,2006,"The Pro Registration law is passed at midnight.
Reed Richards works dilligently on a project called 42, which was the original number of escapees from the Raft in New Avengers.
Captain America's underground team rescues the Young Avengers from a SHIELD convoy.
It is revealed Nick Fury is helping out Captain America.
Spider-Man unmasks live on national TV at a press conference Iron Man set up for him."
New Avengers 22,107895,september,2006,"Iron Man and Ms. Marvel try to get Luke Cage to register before the act becomes mandatory at midnight. Cage refuses, and ends up battling SHIELD. Captain America's team helps him escape and he joins up with them.
Cage sends Jessica and his daughter up to Canada where they'll be safe."
Amazing Spider-Man 533,106137,june,2006,"Reactions across the Marvel U is shown to Spider-Man unmasking. A hospitalized Eddie Brock is shown, along with Dr. Octopus and the Vulture.
Iron Man calls another press conference to announce he, Reed Richards, Hank Pym, and Spider-Man are forming a task force to hunt down all the anti-reg heroes. Peter is very angry having not been told about this in advance, but Tony calms him down."
Friendly Neighborhood Spider-Man 11,105384,october,2006,Peter resigns from his teaching job at Midtown High due to all the attention due to his unmasking.
Friendly Neighborhood Spider-Man 12,105385,november,2006,null
Friendly Neighborhood Spider-Man 13,105386,december,2006,null
Civil War Young Avengers & Runaways 1,105339,october,2006,"Note: the entire series takes place before the Chemical Plant battle in Civil War 3
The Runaways are attacked by SHIELD agents, escaping while the whole thing is shown on live TV. The Young Avengers, defying Captain America, fly to California to help them. Director Hill has SHIELD release the Kree warrior Noh-Varr from the prison called The Cube to find them, as she considers children of the Pride to be very dangerous.
Noh-Varr captures Wiccan, Hulkling, Karolina, and Xavin for the Warden of the Cube to study. The rest of the teams break into the Cube and free their friends. In the process, they manage to take down Noh-Varr. The Vision learns of the tampering the Cube warden has done to him, removing it. The heroes escape, the Runaways declining to join the Anti-Reg battle. Noh-Varr goes on to take over the entire Cube, saying it is the capital city of the New Kree Empire."
Civil War Young Avengers & Runaways 2,105344,october,2006,null
Civil War Young Avengers & Runaways 3,105345,november,2006,null
Civil War Young Avengers & Runaways 4,105346,december,2006,null
Civil War Frontline 2,107958,jun,2006,"The fallout from Spider-Man's unmasking at the Daily Bugle.
Bugle reporter Sally Floyd interviews Firestar, who decides she is going to quit being a superhero.
SHIELD makes Norman Osborn, still in prison, an offer. Osborn is quite outraged at Peter's press conference, as he breaks the rules by talking about him."
Thunderbolts 103,106253,august,2006,"The Thunderbolts have chosen the Pro Reg side, capturing anti-regs. Iron Man tasks them to capture and recruit super villains, which Zemo has secretly been doing anyways for his upcoming war against the Grandmaster."
X-Factor 8,106097,august,2006,"After helping New Warrior Aegis escaped from SHIELD, Jamie Madrox announces X-Factor is going to be anti-reg, and not neutral like most of the mutants and especially X-Men are."
X-Factor 9,106098,september,2006,null
Civil War Frontline 3,107959,july,2006,"Sally interviews a whole group of anti-reg heroes.
Thunderclap, an anti-reg, accidently kills pro-reg hero Bantam during a battle.
Speedball adjusts to life in prison. He has a strange cellmate named Hickey, a man who never talks and has glowing eyes.
The first Atlantean Sleeper Agent is shown, masquerading as a New York City fish shop owner."
Civil War Frontline 4,108347,july,2006,"SHIELD captures all the anti-reg heroes Sally was interviewing.
Ben is accosted in an alley by the Green Goblin, who he knows is Osborn.
In prison, Speedball's powers make a surprise return when he gets stabbed in the leg by a fellow inmate. This is only for a brief moment, and they haven't returned since.
More Atlantean Sleeper Agents are seen, masquerading as fireman."
Thunderbolts 104,106309,september,2006,Zemo aids Reed Richards and Hank Pym in building a super prison for all the anti regs. Dr. Octopus is among the villains shown that the Thunderbolts have captured.
Ms. Marvel 6,108041,october,2006,"Captain America tries to recruit Ms. Marvel, but she refuses. Ms. Marvel and Wonder Man are dispatched to track down Arana and get her to register. They are successful, Arana very excited at the prospect of getting training to become a better hero.
Arachne was working with them, but is secretly helping anti-regs heroes escape. She tries to help her boyfriend the Shroud escape as well (they were trying to get her daughter out of the country), but Carol and Simon capture him. Arachne remains on the run.
Carol and Simon track her to her parents' house, capturing her in front of her daughter. Arana witnesses the whole thing, horrified at the situation."
Ms. Marvel 7,108175,november,2006,null
Ms. Marvel 8,108176,december,2006,null
